ticker,company,industry,sub_industry,cik
MMM,3M Company,Industrials,Industrial Conglomerates,66740
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1800
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,1551152
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,815094
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,1467373
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,718877
ADBE,Adobe Inc.,Information Technology,Application Software,796343
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,2488
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,1158449
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,874761
AFL,AFLAC Inc,Financials,Life & Health Insurance,4977
A,Agilent Technologies Inc,Health Care,Health Care Equipment,1090872
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,2969
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,1086222
ALK,Alaska Air Group Inc,Industrials,Airlines,766421
ALB,Albemarle Corp,Materials,Specialty Chemicals,915913
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,1035443
ALXN,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,899866
ALGN,Align Technology,Health Care,Health Care Supplies,1097149
ALLE,Allegion,Industrials,Building Products,1579241
LNT,Alliant Energy Corp,Utilities,Electric Utilities,352541
ALL,Allstate Corp,Financials,Property & Casualty Insurance,899051
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1652044
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,1652044
MO,Altria Group Inc,Consumer Staples,Tobacco,764180
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,1018724
AMCR,Amcor plc,Materials,Paper Packaging,1748790
AEE,Ameren Corp,Utilities,Multi-Utilities,1002910
AAL,American Airlines Group,Industrials,Airlines,6201
AEP,American Electric Power,Utilities,Electric Utilities,4904
AXP,American Express Co,Financials,Consumer Finance,4962
AIG,American International Group,Financials,Property & Casualty Insurance,5272
AMT,American Tower Corp.,Real Estate,Specialized REITs,1053507
AWK,American Water Works Company Inc,Utilities,Water Utilities,1410636
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,820027
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,1140859
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,1037868
AMGN,Amgen Inc.,Health Care,Biotechnology,318154
APH,Amphenol Corp,Information Technology,Electronic Components,820313
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,6281
ANSS,"ANSYS, Inc.",Information Technology,Application Software,1013462
ANTM,Anthem,Health Care,Managed Health Care,1156039
AON,Aon plc,Financials,Insurance Brokers,315293
AOS,A.O. Smith Corp,Industrials,Building Products,91142
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,6769
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",320193
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,6951
APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,1521332
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,7084
ANET,Arista Networks,Information Technology,Communications Equipment,1596532
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,354190
AIZ,Assurant,Financials,Multi-line Insurance,1267238
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,732717
ATO,Atmos Energy,Utilities,Gas Utilities,731802
ADSK,Autodesk Inc.,Information Technology,Application Software,769397
ADP,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,8670
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,866787
AVB,AvalonBay Communities,Real Estate,Residential REITs,915912
AVY,Avery Dennison Corp,Materials,Paper Packaging,8818
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,1701605
BLL,Ball Corp,Materials,Metal & Glass Containers,9389
BAC,Bank of America Corp,Financials,Diversified Banks,70858
BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,1390777
BAX,Baxter International Inc.,Health Care,Health Care Equipment,10456
BDX,Becton Dickinson,Health Care,Health Care Equipment,10795
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,1067983
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,764478
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,12208
BIIB,Biogen Inc.,Health Care,Biotechnology,875045
BLK,BlackRock,Financials,Asset Management & Custody Banks,1364742
BA,Boeing Company,Industrials,Aerospace & Defense,12927
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,1075531
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,908255
BXP,Boston Properties,Real Estate,Office REITs,1037540
BSX,Boston Scientific,Health Care,Health Care Equipment,885725
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,14272
AVGO,Broadcom Inc.,Information Technology,Semiconductors,1730168
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,1383312
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,14693
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,1043277
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,858470
CDNS,Cadence Design Systems,Information Technology,Application Software,813672
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,16732
COF,Capital One Financial,Financials,Consumer Finance,927628
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,721371
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,1170010
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",815097
CARR,Carrier Global,Industrials,Building Products,1783180
CTLT,Catalent,Health Care,Pharmaceuticals,1596783
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,18230
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1374310
CBRE,CBRE Group,Real Estate,Real Estate Services,1138118
CDW,CDW,Information Technology,Technology Distributors,1402057
CE,Celanese,Materials,Specialty Chemicals,1306830
CNC,Centene Corporation,Health Care,Managed Health Care,1071739
CNP,CenterPoint Energy,Utilities,Multi-Utilities,1130310
CERN,Cerner,Health Care,Health Care Technology,804753
